url,tweet text
https://twitter.com/JonDBrien1/status/1529499727900856321,+1 https://t.co/R1aOKICks6
https://twitter.com/JonDBrien1/status/1529463635604553728,I’m looking forward to once again serving the people of the great City of Woonsocket and the State of Rhode Island. https://t.co/adzTcaiEfX
https://twitter.com/JonDBrien1/status/1529325151103467521,This is what being a victim of a mass hysteria event looks like. https://t.co/R93xKUaA4d
https://twitter.com/JonDBrien1/status/1529088706610663425,"An incredibly thoughtful and well written piece that clearly illustrates the fact that this is indeed a State’s rights issue.  The left however will never allow the facts to get in the way of a good emotional argument. 
https://t.co/LsZehaDHwa"
https://twitter.com/JonDBrien1/status/1528912112789094403,Can’t wait to see all of these BS problems in RI! https://t.co/Ert5gaLypc
https://twitter.com/JonDBrien1/status/1528910884009127936,@BrianCNewberry Clown World. Poverty is wealth.  Knowledge is ignorance. Inflation is positive. https://t.co/18bkz3IP17
https://twitter.com/JonDBrien1/status/1528910095366729728,@ProfCheit @TedNesi @kathyprojo @PatrickAnderso_ @GOP Oh please. Nobody has done better work on this issue than @kathyprojo. To call her work into question says much more about you than it does her. Ludicrous commentary.
https://twitter.com/JonDBrien1/status/1528211051027779584,This generation couldn’t be softer. https://t.co/3EhFxaPXbn https://t.co/9VOIQf4VsR
https://twitter.com/JonDBrien1/status/1528192509612019713,That’s @lemoi_c https://t.co/9d1MOi7xEm
https://twitter.com/JonDBrien1/status/1527622847916548096,It’s also odd that a sitting US Senator does not understand the concept of living in a Republic.  I would imagine that she should know basic civics. https://t.co/5MGrWsxVEW
https://twitter.com/JonDBrien1/status/1527462734991970325,Amen @Sen_JoeManchin! At least someone is standing up for the American people. https://t.co/N8hhh2awhW
https://twitter.com/JonDBrien1/status/1527460597243183104,Of course it’s not! Your pain at the pump is caused by your own government. We are choking ourselves off from the plentiful natural resource that our Nation enjoys. This is madness and it’s part of a despicable plan. https://t.co/Eug7ITr14N
https://twitter.com/JonDBrien1/status/1527403112113262598,I agree with @JohnDePetroshow 1000%. What the GA did this week is abysmal.  Our election integrity is no longer. https://t.co/gtBglJsw0t
https://twitter.com/JonDBrien1/status/1526920081162346497,That’s why the Cubans failed in Red Dawn. https://t.co/0orFaVPZ7a
https://twitter.com/JonDBrien1/status/1526888534552068096,While Rhode Island just passed mail ballot free for all legislation. It’s maddening. https://t.co/tr28gemgj7
https://twitter.com/JonDBrien1/status/1526730187525726209,@DanMcKeeRI please veto this garbage. https://t.co/kLdf75L8OU
https://twitter.com/JonDBrien1/status/1526548548095033346,"Ours was filled with Almacs lemonade. It came frozen, just add water. https://t.co/2OH85lzbaF"
https://twitter.com/JonDBrien1/status/1525978268704317441,"Yes. We are going to honor fathers and the integral role fathers play in children’s lives. If the mentally ill “as a culture” choose not to, have at it.  In the meantime there is nothing like a strong fathers influence on sons and daughters. https://t.co/3cKXcy4KHI"
https://twitter.com/JonDBrien1/status/1525977401037099008,Love @TulsiGabbard https://t.co/jthed5IJIR
https://twitter.com/JonDBrien1/status/1525659437100412929,"@darakass Absolutely never because I am a lucid, rational, and sane individual."
https://twitter.com/JonDBrien1/status/1524883095014498336,"But @elonmusk is the problem? This is a joke. The @washingtonpost has lost all credibility.  Why would you contact, OF ALL THINGS, video game companies? This is lobbying not journalism. https://t.co/Zmabb5CGIP"
https://twitter.com/JonDBrien1/status/1524850605721894913,@minime9739 @kathyprojo Good one! https://t.co/aDKBQN0cvP
https://twitter.com/JonDBrien1/status/1524848794294177792,@minime9739 @kathyprojo An organization that I haven’t been affiliated with in a decade. Nice try.
https://twitter.com/JonDBrien1/status/1524845703599640599,"@minime9739 @kathyprojo “Other people are doing heroin and not OD’ing on Fentanyl, so you’ll be fine. Stop fear mongering.” What a nonsensical take. I care about Rhode Island, not “other states”."
https://twitter.com/JonDBrien1/status/1524834114301480963,@Nicoletta0602 In my memory from 2 years ago
https://twitter.com/JonDBrien1/status/1524810522033545216,It’s amazing the way that they orchestrate the talking points and all the elected lemmings and the MSM just follow.  These are terms straight out of 1984. Unconscionable. https://t.co/xnHyR2SAkj
https://twitter.com/JonDBrien1/status/1524804392049856513,"Thank you @kathyprojo, your concerns regarding those issues alone merit that this bill be recommitted.  It’s not ready for prime time and will only lead to election insecurity. https://t.co/rQgxB9DXXv"
https://twitter.com/JonDBrien1/status/1524711419270287364,This is NOT and SHOULD NOT be a guide for kids 4-8! Since when did we decide that an illustrated version of Penthouse Forum was appropriate for young children? Why are some so intent to rob children’s innocence? https://t.co/yOTqivLOF9
https://twitter.com/JonDBrien1/status/1524709813292347392,"Meanwhile in Rhode Island, in a huge progressive giveaway, we are on the verge of normalizing mail ballot elections, online ballot requests, drop boxes, and ballot harvesting because you know, it worked during the pandemic so we should do it like that from now on.  @kathyprojo https://t.co/O7X8455XAJ"
https://twitter.com/JonDBrien1/status/1524629408195264512,Your $4.50 gas is purposeful. Remember that. https://t.co/hwX2y3jTA6
https://twitter.com/JonDBrien1/status/1524479554408132608,How? How can legislation this impactful advance with so many unanswered questions? This only leads to INSECURE elections. This is not sound policy! @RIHouseofReps @JoeShekarchi @Blake_Filippi @BrianCNewberry @kathyprojo https://t.co/gG66Ra9671
https://twitter.com/JonDBrien1/status/1524449094000955394,Great diligence and work being done here by @kathyprojo. At this point it is beyond irresponsible to pass this legislation.  What is the rush @RIHouseofReps? Political debts should not be paid at the expense of RI citizens. https://t.co/YGMbseDO7C
https://twitter.com/JonDBrien1/status/1524244251747434496,Now do the garbage election bill please? https://t.co/mLG6TrpMWW
https://twitter.com/JonDBrien1/status/1524156558069932035,More questions than answers but let’s ram this through before the elections. What a bad look. As Bill San Bento once said “I’ve never seen so much GAHBAGE in my life!” https://t.co/gG66Ra9671
https://twitter.com/JonDBrien1/status/1524153139435388931,"@WoonRICitizens Here’s the context. 3 Countries allow babies to be aborted up to 9 months, the rest of the world doesn’t.  Nice try.  Let me know when you aren’t hiding anymore."
https://twitter.com/JonDBrien1/status/1524142621433737217,"@WoonRICitizens Yeah, there’s context.  It’s right there and it isn’t about the Vatican.  But hey, you and your anonymous account can side with China and North Korea.  That’s a good look."
https://twitter.com/JonDBrien1/status/1524142188300578817,"This is an absolute travesty.  It’s a go now. They don’t vote things out of committee to fail on the floor. Say hello to insecure mail elections in Rhode Island. While other states are securing their elections, we are doing the opposite. https://t.co/tJ9MW80mZ6"
https://twitter.com/JonDBrien1/status/1524078827034615809,Nice to know we are in such great company. https://t.co/nOofBJKRMW
https://twitter.com/JonDBrien1/status/1524069714523303936,@ClayTravis That’s the logic of being “woke” in a nutshell. https://t.co/e5qXVcyZlS
https://twitter.com/JonDBrien1/status/1524048007448170496,"Seems like a winning strategy for secure elections. Meanwhile we are doing the exact opposite in Rhode Island. It’s now up to the @RIHouseofReps to uphold election integrity. Put Party aside, please, just do what is right for everyone. https://t.co/dxQICo4UXL"
https://twitter.com/JonDBrien1/status/1524039573835325441,"It ain’t hard. You want a foolproof and secure election? There’s your recipe. When elected officials DON’T want these things, there’s a reason. https://t.co/W7X7cqnNd0"
https://twitter.com/JonDBrien1/status/1523992511622041600,This seems like such a good idea to implement this in Rhode Island. Either they don’t know what they are doing or they know EXACTLY what they are doing. We need you @CharleneLimaRI https://t.co/nJfYIGqazT
