,url,tweet text
0,https://twitter.com/RepToddStephens/status/1525966644681625605,@JohnFetterman @giselefetterman Wishing you a speedy recovery and thinking of you and your family!
1,https://twitter.com/RepToddStephens/status/1522930831118979073,@SeffSaid Love this quote!
2,https://twitter.com/RepToddStephens/status/1522025371843112960,@PPDVJohnson So tragic. Sadly the data shows that our first responders and military are at elevated risk of dying by suicide. We need to do more to support our heroes in crisis.
3,https://twitter.com/RepToddStephens/status/1521285463297998848,@JKircher007 @HumaneSociety @RepGuenst @darealsenora @KVCampellone @sking58 @HH_Schools Thanks to @KristenTullo for making the trip to recognize these outstanding students and the dedicated faculty members who supported them through this project!
4,https://twitter.com/RepToddStephens/status/1519371667499278342,@KyleBagenstose Terribly sorry for your loss Kyle.
5,https://twitter.com/RepToddStephens/status/1516245404291055621,@MikeSchlossberg So true!
6,https://twitter.com/RepToddStephens/status/1505939007125004294,"My thoughts, prayers and condolences are with the families and friends of @PAStatePolice Troopers Martin F. Mack III and Branden T. Sisca who died tragically this morning while serving and protecting the people of Pennsylvania."
7,https://twitter.com/RepToddStephens/status/1497557877581565960,When visiting @ @UpperDubSuper at @SRMSCardinals yesterday I ran into these @UpperDublinPD officers who shared with me this wonderful initiative where students assembled and donated Sensory Bags for patrol cars. Great things going on in @UpperDublinTwp! https://t.co/QbkxEmO54Y https://t.co/1oJZ5kXo8P
8,https://twitter.com/RepToddStephens/status/1497554680255242242,"It’s heartbreaking to think of the lives lost in Russia’s barbaric attacks on Ukraine. If you want to help, there are many organizations who would appreciate your support of their efforts to help the people of Ukraine including @ICRC. https://t.co/Cq703V5gM9"
9,https://twitter.com/RepToddStephens/status/1491764786874441729,@StephenJ_Caruso @RepSnyder always put her constituents before partisan politics. She is an outstanding rep who votes her district regardless of party and will be sorely missed.
10,https://twitter.com/RepToddStephens/status/1491038286705721346,@Treehugger421 @GoAlliedMG We’re happy to help. Can you please email me details at https://t.co/PkqiuA9aX2?
11,https://twitter.com/RepToddStephens/status/1482874134602387459,One of our local gems - love this place! https://t.co/OE3ifux8wr
12,https://twitter.com/RepToddStephens/status/1479079879526207492,They did a great job!  Thanks to Mr. Horn and all the @UDHSCardinals students for braving the cold weather to mark this wonderful occasion! https://t.co/MkVA0rVyL7
13,https://twitter.com/RepToddStephens/status/1470370967012749312,"“Residents shouldn’t have to hover inside their homes fearful of venturing out after dark. Homeowners shouldn’t be sleeping with loaded weapons under their pillows. People shouldn’t have to walk around skittish, worried about catching a stray bullet…” https://t.co/KZtLPSIIYd"
14,https://twitter.com/RepToddStephens/status/1466607408625684481,"Sadly, the national trend this article describes of democrats using dark money groups to hide campaign donors was prevalent in the 2020 elections in PA as well. https://t.co/3pscc2rIIv"
15,https://twitter.com/RepToddStephens/status/1461703216240988161,"Shootings up, convictions down. This is why the #PAHouse passed my HR 111 directing the PA Commission on Sentencing to study how gun cases are being handled. https://t.co/tSynJN3dpw https://t.co/2qX2kDO0B8"
16,https://twitter.com/RepToddStephens/status/1455860360246972421,"@DaveSunday_ Congratulations, well deserved!"
17,https://twitter.com/RepToddStephens/status/1451879876877770762,Congratulations! https://t.co/6IzW0lvEF4
18,https://twitter.com/RepToddStephens/status/1451269813997907971,Thank you for joining us to share your expertise with our seniors! https://t.co/fiH8xGtdyL
19,https://twitter.com/RepToddStephens/status/1449389072817000459,@newsethwilliams This is exactly why we need HR111 - a comprehensive study of how gun cases have been handled in Philadelphia and across PA.  https://t.co/yg895Gt8X0
20,https://twitter.com/RepToddStephens/status/1445532904562462728,"Great to see my constituent and @PBCC President, Pat Halpin-Murphy, today as we marked Breast Cancer Awareness Month at the Capitol fountain and heard a heartfelt message from @SenatorKimWard reminding all women to get a mammogram to beat this silent killer. https://t.co/uGsV4NIJAD"
21,https://twitter.com/RepToddStephens/status/1440859509568663552,Thanks so much! We’re doing well - hope you and yours are too! https://t.co/2m3ddFRlE9
22,https://twitter.com/RepToddStephens/status/1440703788973658123,Thank you! https://t.co/XxAIkuMmRo
23,https://twitter.com/RepToddStephens/status/1434666146121273348,Heartbreaking https://t.co/2aeOXGgqSY
24,https://twitter.com/RepToddStephens/status/1432139766477332484,@BenergyEAC @GovernorTomWolf @IronPigs @69News @HollyHarrarTV @POTUS @EdGlavin @TheEllenShow @NPSD @FLOTUS @JoeBiden @DrBiden @mcall @DorneyParkPR Great job Ben!
25,https://twitter.com/RepToddStephens/status/1424906852928790532,This exactly why we need HR 111 - my legislation calling for a bipartisan study of the way gun crimes are being prosecuted in Philly and across PA. https://t.co/yg895Gt8X0 https://t.co/2PqdwSNPEm
26,https://twitter.com/RepToddStephens/status/1416942753179705344,@RealJabariJones This is exactly why I’ve introduced HR 111 in the #PAHouse for a bipartisan study of how firearms cases have been handled by our criminal justice system. https://t.co/yg895Gt8X0
27,https://twitter.com/RepToddStephens/status/1415875871995535360,@HumanePA #Teamwork
28,https://twitter.com/RepToddStephens/status/1415862308039966726,Bittersweet statistics show we’re now holding people accountable but still have work to do to prevent these cases from occurring. I’m proud to have helped make this law a reality with such terrific partners like @HumanePA! https://t.co/Ly1WdKSP7o
29,https://twitter.com/RepToddStephens/status/1415667062089859072,Pleased to welcome ⁦@PAAuditorGen⁩ Tim DeFoor to Montgomery County this morning. His experience as an auditor has allowed him to hit the ground running. He’s dedicated to identifying processes and policies across the Commonwealth that need to be improved. https://t.co/y8VX2bIpNq
30,https://twitter.com/RepToddStephens/status/1413467504475791361,"This is why we need an independent, bipartisan review of how firearms cases are being handled in Philadelphia and across Pennsylvania as called for in HR 111 - https://t.co/jEE9mkC1z5 https://t.co/zVwLxVjFUN"
31,https://twitter.com/RepToddStephens/status/1412405041131048962,100%!!! https://t.co/V94Cv4iE4n
32,https://twitter.com/RepToddStephens/status/1411034120633864192,@JKassa_PA151st I did not authorize my name to be used on this invitation and I will not be attending the event.
33,https://twitter.com/RepToddStephens/status/1410922620221018118,"Now that our drinking water meets the highest standards in the country for #PFAS in @HorshamTownship , @warminsterpa and Warrington we need to understand what, if any, health consequences we face from long-term exposure to these “forever chemicals.” https://t.co/0t8qbtnc8j"
34,https://twitter.com/RepToddStephens/status/1410047874486919172,@BenergyEAC Congrats Ben!
35,https://twitter.com/RepToddStephens/status/1409129448142688256,"Recognizing the ongoing COVID-19 mitigation costs, the #PABudget allocates $282 million in federal relief funds to help nursing homes, assisted living &amp; personal care homes w/ costs related to personal protective equipment, staff testing and other pandemic related costs. https://t.co/Oz1qg984tT"
36,https://twitter.com/RepToddStephens/status/1408809928781877252,Love this building but am really glad it’s in my rear view mirror for now! Looking forward to getting home to my family! #PABudget https://t.co/56wET6IHbb
37,https://twitter.com/RepToddStephens/status/1408782374540877828,The #PABudget we passed last night includes $13.55 billion for PreK-12 education. I was proud to support yet another record-setting investment in PreK-12 education. https://t.co/LtusUH2k8D
